episode,step,reward
865,595155,276.94399761384517
866,595895,277.08245183946804
867,596644,281.2130025602671
868,597360,281.295868292886
869,598113,281.40326558592926
870,598890,283.18133644276435
871,599684,283.18216686938837
872,600459,283.2098295295478
873,601214,283.2561762213584
874,601978,283.3085613800554
875,602715,283.3186998849983
876,603447,283.4110923953633
877,604159,283.49502844222616
878,604885,283.61395315168875
879,605657,283.5760097458791
880,606424,283.5579489047963
881,607172,283.6155216216174
882,607898,283.66062303623215
883,608673,283.6219988519312
884,609442,283.66998751255915
885,610275,283.68888208567455
886,611141,283.7331472893921
887,611924,283.7546819506131
888,612831,283.75397178127037
889,613639,283.8179087541995
890,614403,283.8404977987077
891,615214,283.8257990528426
892,615942,287.20661895933495
893,616722,287.1853499448855
894,617443,287.27109861226813
895,618235,287.2344998334487
896,618867,285.6937995557476
897,619608,285.7026676824716
898,620371,288.74540226831283
899,621185,288.7239625631379
900,621996,288.67241383633444
901,622784,292.649972250932
902,623574,292.6512684796797
903,624369,295.93125832846823
904,625156,295.91099226305533
905,625536,295.35047615903335
906,626322,295.3063987147508
907,627070,295.37110698991734
908,627839,295.3819125830255
909,628280,295.4499280486357
910,629040,296.60491673051695
911,629778,296.68884938005147
912,630543,299.13467398495845
913,631323,299.19420368749707
914,632124,299.2484710479614
915,632948,299.27201981925754
916,633629,298.0082755073463
917,634473,298.085689875563
918,635268,298.0726502226617
919,636027,298.06075658083336
920,636776,298.05378669928456
921,637573,298.05379802719335
922,638347,298.10190464570275
923,638871,295.8559009166862
924,639642,295.81979593871404
925,640437,295.77223392117327
926,641247,295.7296464384254
927,642030,295.71805937053114
928,642791,295.7133037591656
929,643536,295.6773896418734
930,644371,295.64183722236913
931,645199,295.6005801674439
932,645965,295.59942612266013
933,646349,294.0014798261225
934,647091,294.0500310188829
935,647940,293.96851903256
936,648736,294.00957891997854
937,649508,294.10086879263855
938,650281,294.1134489671252
939,651006,294.23277141617575
940,651748,294.25668310150246
941,652514,294.2666606866524
942,653271,294.27803552692006
943,654040,294.30541470504164
944,654807,294.3618953776952
945,655603,294.3578764859232
946,656405,294.4310776307727
947,657215,294.4051440355574
948,657987,294.3944342281991
949,658756,294.4222205203115
950,659511,294.3915541910585
951,660275,294.43644183433025
952,661060,294.42772770298996
953,661144,290.3733448432955
954,661929,290.38834331161354
955,662705,290.3448941392481
956,663486,290.29880098928334
957,664261,292.2621169449084
958,665008,292.26488205565363
959,665776,292.27775869584065
960,666030,288.94508873672964
961,666780,289.004830584705
962,667517,289.0935052170332
963,668294,289.0834111343566
964,669087,289.0576873538978
965,669831,289.0565089578834
966,670484,287.497409641812
967,671256,287.4743077625537
968,672019,287.4642256688457
969,672759,287.48433588713397
970,673502,287.55578551594664
971,674282,287.62913638768066
972,674984,287.7126923311346
973,675708,287.7770918559312
974,676457,287.8516661099891
975,677224,287.8386118908024
